lp	sigma
1	657.57
2	301.388
3	1067.93
4	3564.86
5	3573.63
6	5538.07
7	6126.09
8	7806.66
9	8770.81
10	8027.19
11	10294.5
12	12813.9
13	13929.4
14	14028.6
15	13886.6
16	17104.1
17	23332
18	23032.4
19	24933.4
20	24899.6
21	24921.4
22	24936
23	24941.8
24	24943.2
25	24943.5
26	24943.5
27	24943.5
28	24943.5
29	24943.5
30	24943.5
31	24943.5
32	24943.5
33	24943.5
34	118972
