lp	sigma
1	179.317
2	470.72
3	182.283
4	20.1338
5	29.058
6	22.1103
7	0.864792
8	195.247
9	2265.43
10	2875.96
11	5313.7
12	4203.93
13	5243.3
14	6100.76
15	9526.18
16	1056.1
17	12.5363
18	0.104479
19	8376.35
20	7213.55
21	19851.6
22	15544.9
23	7753.13
24	12935.1
25	22848.2
26	27722
27	6279.72
28	0
29	17063.2
30	26609.8
31	31015.3
32	407.784
33	0.0636466
34	7.35094e-06
35	6.44298e-10
36	0
37	15899.4
38	24087
39	34960.5
40	723.383
41	-nan
42	95.5701
