lp	sigma
1	48.6651
2	124.406
3	261.997
4	497.73
5	879.744
6	1460.23
7	2236.17
8	3078.5
9	3569.36
10	3656.96
11	3659.01
12	3664.02
13	3679.12
14	3701.48
15	3727.58
16	3755.19
17	3784.52
18	3814.14
19	3842.44
20	3870.78
21	3899.5
22	3925.84
23	3948.79
24	3970.58
25	3992.59
26	4012.46
27	4026.56
28	4034.13
29	4037.19
30	4038.14
31	4038.37
32	4038.41
33	4038.42
34	4038.42
35	4038.42
36	4038.42
37	4038.42
38	4038.42
39	4038.42
40	4038.42
41	4038.42
42	4038.42
