lp	sigma
1	3.83926
2	5.93114
3	6.17256
4	7.90461
5	24.6087
6	89.5619
7	258.745
8	625.455
9	1298.89
10	2301.84
11	3484.17
12	4105.45
13	4185.27
14	4185.79
15	4193.3
16	4210.88
17	4235.21
18	4262.64
19	4290.03
20	4317.89
21	4346.49
22	4373.04
23	4396.18
24	4417.98
25	4440.03
26	4460.23
27	4474.87
28	4482.89
29	4486.22
30	4487.27
31	4487.52
32	4487.57
33	4487.58
34	4487.58
35	4487.58
36	4487.58
37	4487.58
38	4487.58
39	4487.58
40	4487.58
41	4487.58
42	4487.58
